Feature,Ridge_L2,Lasso_L1,Elastic_Net
StudentID,0.0016903209772631924,0.0,0.0
Gender,-0.0008482545673924992,-0.0,-0.0
City,0.0009940504540514518,0.0,0.0
CollegeTier,-0.006214755227818097,-0.0034027892359052322,-0.005035395981992692
Stream,-0.003846936285812626,-0.0,-0.0
Specialisation,-0.001833920506847132,-0.0,-0.0
Hostel,0.0006269999222351777,0.0,0.0
HistoryOfBacklogs,-0.035535966226752806,-0.03470361470891573,-0.03602627957210257
SGPA_Sem1,-0.02309339118807164,-0.0,-0.0
SGPA_Sem2,-0.02579773021599702,-0.0,-0.0
SGPA_Sem3,-0.009545508244579566,-0.0,-0.0
SGPA_Sem4,-0.005374241466042342,-0.0,-0.0
SGPA_Sem5,0.007772662115028684,-0.0,-0.0
SGPA_Sem6,0.017883212933077763,-0.0,-0.0
SGPA_Sem7,0.013990311327347769,-0.0,-0.0
SGPA_Sem8,0.028681072919088196,-0.0,-0.0
CGPA,-0.110176318677892,-0.009462560213665351,-0.04847451457094282
AttendancePercent,0.007804437495338527,0.0019960450177474776,0.005372425105292988
Internships,0.01933403019795894,0.013812488748933541,0.016252402977134185
Projects,0.01884878819692637,0.011490283844242635,0.014395065092138882
Workshops,-0.005649465573633148,0.0,0.0
Certifications,0.001517844046080318,0.003450087227292386,0.003022899083968081
Publications,-0.018568793285504554,-0.0,-0.0010929391468021393
AptitudeTestScore,0.03339179870015697,0.019281327452522427,0.025983523488903995
SoftSkillsRating,0.01745078497819818,0.02803500764164078,0.024620937611604925
CodingTestScore,0.026187716427344358,0.0,0.008368065857774951
MockInterviewScore,0.007036984539419634,0.02067723988628822,0.015353072355292562
ExtraCurricular,-0.04068642272392778,-0.015058656072157187,-0.026008956465957744
CGPA_Tier,0.2372730389881359,0.19468608458471406,0.2091716118953677
Salary Package,0.5390868369448493,0.421226795646702,0.46062968374036467
IsAnomaly,-0.0020636801656344714,-0.0,-0.0
